(주)평화발레오,그 외 자동차용 신품 부품 제조업,34년차,"대기업,1000대기업",707명,,
한국산업단지공단,비주거용 부동산 관리업,25년차,1000대기업,502명,,
(주)아세아스틸,열간 압연 및 압출 제품 제조업,27년차,중견기업,65명,,
에스트라오토모티브시스템(주),그 외 자동차용 신품 부품 제조업,38년차,"대기업,1000대기업",638명,,
(주)카펙발레오,그 외 자동차용 신품 부품 제조업,29년차,"1000대기업,중견기업",626명,,
(주)삼성라이온즈,스포츠 클럽 운영업,,대기업,45명,,
크레텍책임(주),기타 산업용 기계 및 장비 도매업,8년차,중견기업,498명,3342억,4%
태창철강(주),1차 금속제품 도매업,41년차,중견기업,54명,,
(주)브이피에이치씨,그 외 기타 금속가공제품 제조업,5년차,중견기업,183명,,
이인텔리전스(주),자동차용 신품 동력전달장치 제조업,8년차,중견기업,,,
(주)장보고식자재마트,기타 가공식품 도매업,17년차,중견기업,"1,042명",3770억,19%
한국에스케이에프씰(주),그 외 자동차용 신품 부품 제조업,34년차,중견기업,365명,,
(주)둔차오토모티브,자동차용 엔진 제조업,12년차,중견기업,33명,,
이래에이엠에스(주),그 외 자동차용 신품 부품 제조업,5년차,중견기업,793명,,
현대로보틱스(주),산업용 로봇 제조업,2년차,대기업,364명,,
대구그린파워(주),화력 발전업,12년차,대기업,42명,,
(주)부림약품,의약품 도매업,32년차,중견기업,81명,3995억,6%
(주)한성피앤아이,기타 인쇄업,28년차,대기업,189명,,
평화기공(주),그 외 자동차용 신품 부품 제조업,37년차,중견기업,166명,,
농업회사법인(주)영풍,기타 식사용 가공처리 조리식품 제조업,8년차,1000대기업,82명,195억,8%
(주)다스,디스플레이 제조용 기계 제조업,11년차,중견기업,27명,75억,15%
엘에스메카피온(주),전동기 및 발전기 제조업,22년차,대기업,169명,347억,58%
(주)금복주,소주 제조업,12년차,중견기업,234명,,
한국지능정보사회진흥원,컴퓨터시스템 통합 자문 및 구축 서비스업,35년차,중견기업,441명,3137억,26%
(주)고아정공,전동기 및 발전기 제조업,27년차,중견기업,160명,,
대한소결금속(주),분말 야금제품 제조업,35년차,중견기업,240명,,
경산제지(주),크라프트지 및 상자용 판지 제조업,,중견기업,100명,901억,6%
(주)경동사,의약품 도매업,36년차,"대기업,1000대기업",223명,4318억,3%
(주)동화주택,주거용 건물 개발 및 공급업,34년차,"1000대기업,중견기업",57명,,
신라철강(주),냉간 압연 및 압출 제품 제조업,45년차,중견기업,88명,,
상신이엔지(주),그 외 기타 특수목적용 기계 제조업,16년차,중견기업,35명,,
한국오에스지(주),톱 및 호환성 공구 제조업,42년차,중견기업,402명,,
산도브레이크(주),그 외 자동차용 신품 부품 제조업,22년차,중견기업,74명,,
케이비와이퍼시스템(주),그 외 자동차용 신품 부품 제조업,8년차,중견기업,492명,,
(주)디지비유페이,그 외 기타 금융 지원 서비스업,13년차,중견기업,43명,,
동원파이프(주),강관 제조업,22년차,중견기업,66명,387억,9%
(주)피에프에스,그 외 자동차용 신품 부품 제조업,2년차,중견기업,293명,,
대구엠비씨미디컴(주),방송 프로그램 제작업,27년차,중견기업,74명,,
(주)디지비데이터시스템,컴퓨터시스템 통합 자문 및 구축 서비스업,10년차,중견기업,142명,208억,6%
(주)호텔라온제나,호텔업,7년차,대기업,79명,,
(주)귀뚜라미범양냉방,공기 조화장치 제조업,59년차,중견기업,201명,1641억,2%
(주)프레시원대구경북,과실류 도매업,10년차,대기업,77명,,
대구문화방송(주),지상파 방송업,,중견기업,128명,,
(주)동원약품,의약품 도매업,36년차,중견기업,196명,3115억,18%
부국철강(주),1차 금속제품 도매업,34년차,중견기업,79명,,
삼영공업(주),그 외 자동차용 신품 부품 제조업,34년차,중견기업,39명,,
에이비테크(주),그 외 자동차용 신품 부품 제조업,9년차,중견기업,39명,336억,3%
케이케이(주),액체연료 및 관련제품 도매업,,중견기업,60명,,
한국대풍(주),자동차 엔진용 신품 부품 제조업,21년차,중견기업,96명,,
(주)화성개발,아파트 건설업,45년차,중견기업,52명,1045억,10%
(주)센트랄디티에스,그 외 자동차용 신품 부품 제조업,15년차,중견기업,40명,903억,2%
(주)문깡,외국어학원,18년차,중견기업,문강명,23억,94%
한국신동공업(주),금속 주조 및 기타 야금용 기계 제조업,52년차,중견기업,95명,,
(주)픽셀허브,기타 게임 소프트웨어 개발 및 공급업,8년차,대기업,,11억,105%
(주)이노빌,그 외 기타 전자부품 제조업,8년차,중견기업,,2억,598%
갑을합섬(주),직물 도매업,33년차,중견기업,11명,,
극동볼트(주),볼트 및 너트류 제조업,8년차,1000대기업,47명,,
한국광유(주),액체연료 및 관련제품 도매업,17년차,중견기업,30명,,
(주)디지비신용정보,신용 조사 및 추심 대행업,22년차,중견기업,56명,18억,5%
금복홀딩스(주),지주회사,,중견기업,15명,184억,27%
(주)칼라스퀘어,비주거용 건물 개발 및 공급업,15년차,중견기업,3명,,
(주)원인터내셔널,디자인·설계,27년차,1000대기업,17명,,
(주)남선홀딩스,경영 컨설팅업,4년차,중견기업,4명,154억,16%
(주)다인태양광발전소,전기업,14년차,중견기업,1명,,
(주)코리아와이드,지주회사,,중견기업,3명,,
플로라솔벤트출력센터,기타 화학제품 제조업,,1000대기업,,,
