(주)한국인삼공사,인삼식품 제조업,,"대기업,1000대기업","1,690명",,
한국철도공사,철도 여객 운송업,18년차,대기업,"27,867명",5조,1%
한국수자원공사,생활용수 공급업,34년차,대기업,"4,100명",,
에스케이바이오텍(주),의약용 화합물 및 항생물질 제조업,7년차,대기업,392명,,
(주)진합,볼트 및 너트류 제조업,44년차,중견기업,616명,,
제일사료(주),배합 사료 제조업,11년차,"대기업,1000대기업",350명,,
한전원자력연료(주),기타 기초 무기 화학물질 제조업,40년차,대기업,"1,132명",3312억,7%
한국조폐공사,재정 및 경제정책 행정,71년차,1000대기업,"1,600명",5247억,9%
태아산업(주),담배 제조업,,대기업,102명,217억,14%
(주)세아엔지니어링,기체 펌프 및 압축기 제조업,9년차,대기업,151명,,
(주)코스비전,화장품 제조업,14년차,대기업,112명,,
씨엔씨티에너지(주),연료용 가스 제조 및 배관공급업,,중견기업,212명,,
(주)한화이글스,스포츠 클럽 운영업,,대기업,50명,,
중소기업기술정보진흥원,경제 및 경영학 연구개발업,20년차,중견기업,200명,1조,33%
코레일테크(주),철도궤도 전문공사업,18년차,대기업,"5,446명",2388억,17%
(주)케이티서비스남부,내부 통신배선 공사업,15년차,대기업,"1,977명",,
(주)프레시원중부,기타 가공식품 도매업,11년차,대기업,51명,,
서비스탑(주),콜센터 및 텔레마케팅 서비스업,12년차,대기업,"3,466명",1954억,1%
(주)골프존카운티,골프장 운영업,4년차,중견기업,63명,1425억,68%
소상공인시장진흥공단,산업 단체,8년차,1000대기업,551명,3518억,4%
(주)한국프리시전웍스,주형 및 금형 제조업,49년차,대기업,237명,,
(주)케이오씨솔루션,광학렌즈 및 광학요소 제조업,16년차,중견기업,34명,,
(주)승진상사,액체연료 및 관련제품 도매업,,중견기업,21명,,
(주)대전지오영,의약품 도매업,16년차,중견기업,63명,1609억,27%
계룡산업(주),기타 대형 종합 소매업,48년차,중견기업,146명,,
대전열병합발전(주),"증기, 냉ㆍ온수 및 공기조절 공급업",17년차,중견기업,58명,,
삼주외식산업(주),기관 구내식당업,28년차,중견기업,288명,,
(주)케이티엠오에스남부,내부 통신배선 공사업,18년차,대기업,866명,710억,6%
(주)화인테크,기타 기초 무기 화학물질 제조업,16년차,중견기업,21명,,
한국동그라미파트너스(주),산업용 세탁업,7년차,대기업,79명,42억,110%
(주)골프존카운티매니지먼트,골프장 운영업,9년차,중견기업,374명,217억,70%
(주)대전방송,지상파 방송업,28년차,중견기업,120명,,
(주)동양이엔씨,건물용 금속공작물 설치 공사업,7년차,중견기업,23명,,
(주)농협대전유통,과실류 도매업,,대기업,177명,1758억,4%
케이알유통(주),대형 마트,13년차,중견기업,19명,,
(주)수반건설,콘크리트 및 철근 공사업,10년차,중견기업,42명,,
(주)파인텔레콤,기타 무선 통신장비 제조업,25년차,중견기업,30명,48억,7%
두모전자(주),판유리 및 판유리 가공품 제조업,13년차,중견기업,29명,,
(주)대전동원약품,의약품 도매업,,중견기업,89명,1464억,5%
(주)아름홀딩스,경영 컨설팅업,4년차,중견기업,1명,,
퍼스트365소아청소년과의원,일반 의원,,1000대기업,,,
(주)팜플러스,전자상거래 소매 중개업,6년차,중견기업,,46억,1%
키다리식품(주) 대전(신탄진)제2공장,식품가공·개발,30년차,중견기업,이명수,1594억,1%
(주)다이나맥,기계·설비·자동차,50년차,1000대기업,230명,,
(주)비씨앤티,그 외 기타 분류 안된 화학제품 제조업,12년차,중견기업,42명,,
애드家,서비스업,,1000대기업,50명,,
(주)엔진서치,"기타 기술 시험, 검사 및 분석업",20년차,1000대기업,,,
신도디에스판매(주),사무용 가구 및 기기 도매업,16년차,중견기업,77명,382억,10%
세종자원(주),재생용 재료 수집 및 판매업,,중견기업,14명,,
호포차량기지태양광발전소(주),태양력 발전업,10년차,중견기업,,,
보라미생활체육(주),사업시설 유지ㆍ관리 서비스업,13년차,중견기업,4명,31억,48%
(주)무진건설,주거용 건물 개발 및 공급업,7년차,중견기업,5명,,
신창에너지(주),액체연료 및 관련제품 도매업,21년차,중견기업,9명,,
(주)하이클래스리빙,주거용 건물 건설업,8년차,중견기업,7명,,
계룡문화(주),사업시설 유지ㆍ관리 서비스업,14년차,중견기업,4명,12억,13%
증평한가족병영(주),비주거용 부동산 관리업,12년차,중견기업,1명,,
