(주)오토닉스,그 외 기타 전자부품 제조업,32년차,중견기업,838명,1231억,3%
한국자산관리공사,기금 운영업,25년차,중견기업,"1,328명",,
동은단조(주),금속 단조제품 제조업,29년차,중견기업,283명,,
(주)파크랜드,남자용 겉옷 제조업,,중견기업,곽국민/박명규,,
(주)동화엔텍,"증류기, 열교환기 및 가스발생기 제조업",42년차,중견기업,320명,,
(주)창신아이엔씨,신발 도매업,41년차,중견기업,915명,1조,17%
한국인프라관리(주),도로 및 관련시설 운영업,12년차,대기업,68명,573억,24%
비엔스틸라(주)녹산공장,금속·재료·철강·요업,,1000대기업,120명,,
윌로펌프(주),액체 펌프 제조업,22년차,중견기업,296명,,
(주)한국거래소,금융시장 관리업,17년차,대기업,920명,4968억,29%
(주)신기인터모빌,그 외 자동차용 신품 부품 제조업,32년차,중견기업,285명,3239억,21%
대선주조(주),소주 제조업,58년차,중견기업,194명,,
은산해운항공(주),"화물운송 중개, 대리 및 관련 서비스업",29년차,중견기업,133명,1576억,11%
스타자동차(주),자동차 신품 판매업,22년차,중견기업,234명,,
유카로오토모빌(주),자동차 신품 판매업,,중견기업,387명,2872억,79%
(주)보쉬렉스로스코리아,그 외 기타 기계 및 장비 도매업,23년차,중견기업,165명,,
세운철강(주),그 외 기타 1차 철강 제조업,44년차,중견기업,169명,,
고려용접봉(주),그 외 기타 분류 안된 금속 가공 제품 제조업,58년차,중견기업,287명,,
(주)젤텍,접착제 및 젤라틴 제조업,24년차,중견기업,137명,994억,17%
(주)디케이오스텍,그 외 자동차용 신품 부품 제조업,59년차,대기업,152명,,
(주)세정,남자용 겉옷 제조업,31년차,중견기업,774명,,
(주)롯데자이언츠,스포츠 클럽 운영업,40년차,대기업,54명,,
(주)디알액시온,자동차 엔진용 신품 부품 제조업,29년차,"1000대기업,중견기업",408명,,
(주)삼원약품,의약품 도매업,40년차,중견기업,89명,2330억,4%
한국통산(주),"동 제련, 정련 및 합금 제조업",35년차,중견기업,111명,1197억,12%
