쿠팡(주),전자상거래 소매업,9년차,"대기업,1000대기업","6,372명",13조,95%
(주)삼구아이앤씨,사업시설 유지ㆍ관리 서비스업,46년차,중견기업,"19,355명",,
(주)하이브,음악 및 기타 오디오물 출판업,17년차,"중견기업,1000대기업",370명,4533억,9%
(주)맨파워코리아,상용 인력 공급 및 인사관리 서비스업,23년차,중견기업,"4,841명",2223억,15%
(주)맨파워그룹코리아,상용 인력 공급 및 인사관리 서비스업,7년차,중견기업,"2,789명",,
(주)스타벅스커피코리아,커피 전문점,25년차,"대기업,1000대기업","17,698명",1조,3%
(주)사람인에이치에스,임시 및 일용 인력 공급업,6년차,중견기업,"1,300명",,
(주)트랜스코스모스코리아,콜센터 및 텔레마케팅 서비스업,21년차,중견기업,"8,088명",2997억,7%
(주)에듀윌,온라인 교육 학원,20년차,중견기업,박명규,1192억,25%
(주)아성다이소,그 외 기타 생활용품 도매업,30년차,"중견기업,1000대기업","10,418명",2조,8%
(주)야놀자,데이터베이스 및 온라인정보 제공업,15년차,"중견기업,스타트업",793명,1513억,105%
투썸플레이스(주),커피 전문점,4년차,대기업,"2,642명",3640억,11%
테슬라코리아(유),자동차 신품 판매업,7년차,대기업,216명,7162억,296%
(주)더본코리아,한식 음식점업,28년차,중견기업,736명,1200억,17%
푸르덴셜생명보험(주),생명 보험업,33년차,"대기업,1000대기업",547명,2조,4%
(주)윌앤비전,상용 인력 공급 및 인사관리 서비스업,16년차,대기업,"3,838명",,
(주)디에이치엘코리아,"화물운송 중개, 대리 및 관련 서비스업",22년차,"대기업,1000대기업","1,413명",5895억,31%
(주)아워홈,기관 구내식당업,22년차,"중견기업,1000대기업","10,097명",1조,4%
케이텍맨파워(주),상용 인력 공급 및 인사관리 서비스업,24년차,중견기업,"10,534명",,
(주)이디야,비알코올음료 도매업,20년차,중견기업,422명,2239억,1%
명화공업(주),그 외 자동차용 신품 부품 제조업,65년차,"1000대기업,중견기업",571명,,
농협은행(주),국내은행,10년차,"대기업,1000대기업","13,669명",13조,8%
이투스교육(주),일반 교과 학원,24년차,중견기업,668명,,
(주)스타쉽엔터테인먼트,매니저업,14년차,대기업,115명,,
(주)커리어넷,데이터베이스 및 온라인정보 제공업,19년차,중견기업,350명,,
(주)에치와이,액상시유 및 기타 낙농제품 제조업,53년차,"중견기업,1000대기업","1,030명",,
캐논코리아비즈니스솔루션(주),사무용 기계 및 장비 제조업,37년차,"대기업,1000대기업","1,204명",5458억,5%
(주)커피빈코리아,커피 전문점,22년차,중견기업,"1,415명",,
세아상역(주),남자용 겉옷 제조업,,"대기업,1000대기업",852명,2조,13%
콘텐츠웨이브(주),"영화, 비디오물 및 방송프로그램 배급업",10년차,대기업,,1802억,85%
효성티앤에스(주),사무용 기계 및 장비 제조업,36년차,"대기업,1000대기업",830명,7129억,3%
(주)유니에스,임시 및 일용 인력 공급업,32년차,중견기업,"17,414명",,
(주)동화세상에듀코,온라인 교육 학원,23년차,중견기업,124명,,
신라스테이(주),호텔업,8년차,대기업,461명,,
(주)아데코코리아,상용 인력 공급 및 인사관리 서비스업,23년차,중견기업,"1,690명",775억,4%
에이치엔아이엔씨(주),컴퓨터시스템 통합 자문 및 구축 서비스업,27년차,중견기업,350명,,
한영회계법인,공인회계사업,40년차,중견기업,"1,201명",3880억,411%
(주)포스코오앤엠,사업시설 유지ㆍ관리 서비스업,32년차,대기업,964명,1889억,9%
(주)비즈테크파트너스,컴퓨터시스템 통합 자문 및 구축 서비스업,19년차,대기업,649명,1104억,6%
티케이엘리베이터코리아(주),승강기 제조업,43년차,"1000대기업,중견기업","1,495명",7393억,6%
데상트코리아(주),남녀용 겉옷 및 셔츠 도매업,22년차,"1000대기업,중견기업",552명,,
위티아(주),임시 및 일용 인력 공급업,17년차,중견기업,548명,335억,10%
서울보증보험(주),보증 보험업,53년차,"대기업,1000대기업","1,474명",,
(주)프로에스콤,경비 및 경호 서비스업,29년차,중견기업,"4,513명",2108억,8%
