에스케이머티리얼즈에어플러스(주),산업용 가스 제조업,15년차,대기업,127명,1757억,12%
에스티엠(주),무기안료용 금속 산화물 및 관련 제품 제조업,11년차,대기업,182명,1966억,17%
플루오린코리아(주),기타 기초 무기 화학물질 제조업,17년차,중견기업,139명,,
롯데이네오스화학(주),석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,,"1000대기업,중견기업",208명,,
(주)베바스토코리아홀딩스,그 외 자동차용 신품 부품 제조업,35년차,중견기업,328명,3028억,1263%
(주)동희산업,그 외 자동차용 신품 부품 제조업,16년차,중견기업,670명,,
코리아피티지(주),석유화학계 기초 화학물질 제조업,23년차,중견기업,137명,,
한국산업인력공단,직원훈련기관,40년차,"기타,1000대기업","1,286명",,
엘에스니꼬동제련(주),"동 제련, 정련 및 합금 제조업",23년차,"대기업,1000대기업",839명,,
한화종합화학(주),석유화학계 기초 화학물질 제조업,34년차,"대기업,1000대기업",370명,,
현대이엔티(주),기타 엔지니어링 서비스업,18년차,대기업,"1,002명",651억,1%
한국이네오스스티롤루션(주),합성수지 및 기타 플라스틱 물질 제조업,14년차,"중견기업,1000대기업",200명,,
(주)제이엠씨,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,31년차,중견기업,237명,934억,9%
근로복지공단,산업재해 및 기타 사회보장 보험업,27년차,1000대기업,"6,360명",8680억,2%
(주)티씨티,기타 절연선 및 케이블 제조업,27년차,중견기업,164명,1004억,1%
유나이티드터미널코리아(주),위험물품 보관업,24년차,대기업,67명,208억,12%
(주)덕양,산업용 가스 제조업,40년차,"중견기업,1000대기업",170명,,
동서석유화학(주),석유화학계 기초 화학물질 제조업,,"대기업,1000대기업",208명,,
(주)티에스케이이앤피,"증기, 냉ㆍ온수 및 공기조절 공급업",9년차,중견기업,43명,,
(주)용산,그 외 자동차용 신품 부품 제조업,24년차,중견기업,841명,4262억,8%
(주)일진에너지,"증류기, 열교환기 및 가스발생기 제조업",8년차,중견기업,53명,,
현대중공업터보기계(주),액체 펌프 제조업,6년차,대기업,145명,907억,9%
코스포영남파워(주),화력 발전업,7년차,대기업,60명,,
(주)한주,"증기, 냉ㆍ온수 및 공기조절 공급업",,"대기업,1000대기업",213명,,
현대중공업모스(주),사업시설 유지ㆍ관리 서비스업,6년차,대기업,813명,,
지에스에코메탈(주),재생용 재료 수집 및 판매업,12년차,대기업,92명,,
에이케이앤엠엔바이오팜(주),건강기능식품 제조업,14년차,중견기업,78명,201억,8%
한국넥슬렌(유),합성수지 및 기타 플라스틱 물질 제조업,7년차,대기업,26명,,
