(유)스태츠칩팩코리아,기타 반도체소자 제조업,31년차,대기업,"2,690명",6578억,50%
동서식품(주),커피 가공업,54년차,"중견기업,1000대기업","1,147명",1조,1%
(주)제이에이에스,기타 항공 운송지원 서비스업,22년차,중견기업,613명,,
(주)경신,자동차용 신품 전기장치 제조업,48년차,"대기업,1000대기업","1,296명",1조,4%
삼성바이오에피스(주),의학 및 약학 연구개발업,10년차,대기업,921명,7829억,2%
대동하이렉스(주),그 외 자동차용 신품 부품 제조업,19년차,중견기업,216명,,
신한다이아몬드공업(주),톱 및 호환성 공구 제조업,45년차,"1000대기업,중견기업",530명,,
(주)대한솔루션,폴리스티렌 발포 성형제품 제조업,39년차,"1000대기업,중견기업",910명,,
오덱(주),자동차 엔진용 신품 부품 제조업,37년차,중견기업,242명,5971억,22%
청라에너지(주),"증기, 냉ㆍ온수 및 공기조절 공급업",17년차,대기업,34명,783억,14%
티오케이첨단재료(주),감광재료 및 관련 화학제품 제조업,10년차,중견기업,126명,1724억,26%
(주)포스코에이앤씨건축사사무소,건축설계 및 관련 서비스업,43년차,대기업,811명,1536억,11%
만도헬라일렉트로닉스(주),자동차용 신품 조향장치 및 현가 장치 제조업,14년차,"대기업,1000대기업",780명,5253억,3%
디엠바이오(주),완제 의약품 제조업,7년차,중견기업,211명,159억,149%
(주)코스모코스,화장품 제조업,28년차,대기업,263명,,
(주)경신홀딩스,지주회사,23년차,중견기업,88명,,
(주)동보,자동차 엔진용 신품 부품 제조업,37년차,중견기업,847명,,
엘티메탈(주),그 외 기타 전자부품 제조업,48년차,"중견기업,1000대기업",358명,7624억,27%
(주)태안모터스,자동차 신품 판매업,17년차,중견기업,478명,4137억,100%
풍산특수금속(주),열간 압연 및 압출 제품 제조업,14년차,중견기업,147명,,
한진인천컨테이너터미널(주),항구 및 기타 해상 터미널 운영업,8년차,대기업,116명,536억,22%
유신정밀공업(주),자동차 엔진용 신품 부품 제조업,33년차,"1000대기업,중견기업",476명,,
영림임업(주),기타 건축용 나무제품 제조업,,중견기업,243명,1303억,8%
만도브로제(주),자동차용 신품 전기장치 제조업,11년차,대기업,162명,,
린나이코리아(주),가정용 비전기식 조리 및 난방 기구 제조업,48년차,중견기업,876명,3025억,4%
(주)이건창호,"금속 문, 창, 셔터 및 관련제품 제조업",5년차,중견기업,264명,,
(주)신세계야구단,스포츠 클럽 운영업,22년차,대기업,46명,,
제이셋스태츠칩팩코리아(유),기타 반도체소자 제조업,7년차,중견기업,"1,141명",1조,63%
(주)하나금융티아이,시스템 소프트웨어 개발 및 공급업,32년차,중견기업,971명,2250억,15%
선광신컨테이너터미널(주),항구 및 기타 해상 터미널 운영업,12년차,중견기업,133명,597억,2%
(주)이노렉스테크놀러지,그 외 자동차용 신품 부품 제조업,20년차,중견기업,140명,1346억,16%
공항철도(주),도시철도 운송업,21년차,중견기업,529명,,
(주)컴파트너스,포털 및 기타 인터넷 정보매개 서비스업,11년차,대기업,332명,173억,6%
(주)에어코리아,기타 항공 운송지원 서비스업,14년차,대기업,683명,,
(주)유승종합건설,주거용 건물 개발 및 공급업,13년차,"1000대기업,중견기업",109명,,
모베이스썬스타(주),"기타 섬유, 의복 및 가죽 가공 기계 제조업",,중견기업,116명,,
라이온코리아(주),"치약, 비누 및 기타 세제 제조업",18년차,중견기업,282명,1669억,3%
후지테크코리아(주),승강기 제조업,54년차,중견기업,234명,,
대우송도호텔(주),호텔업,15년차,대기업,145명,,
대동도어(주),그 외 자동차용 신품 부품 제조업,21년차,중견기업,281명,,
벽산건설(주),종합 건설업,,중견기업,232명,,
(주)레스모아,신발 도매업,26년차,중견기업,황규명,,
이건에너지(주),화력 발전업,13년차,중견기업,49명,,
대한사료(주),배합 사료 제조업,75년차,중견기업,237명,3919억,6%
에어서울(주),항공 여객 운송업,7년차,대기업,461명,,
(주)심팩인더스트리,선철주물 주조업,55년차,중견기업,45명,716억,605%
(주)디어포스,연마재 제조업,59년차,중견기업,222명,,
오스템글로벌(주),그 외 기타 의료용 기기 제조업,6년차,중견기업,14명,,
(주)크레아,자동차용 신품 조향장치 및 현가 장치 제조업,17년차,중견기업,173명,889억,11%
(주)풍전비철,알루미늄주물 주조업,25년차,중견기업,88명,3425억,8%
코셉머티리얼(주),"물리, 화학 및 생물학 연구개발업",9년차,중견기업,55명,33억,4%
송도랜드마크시티(유),비주거용 건물 개발 및 공급업,,대기업,12명,,
(주)비티스,상품 종합 도매업,18년차,중견기업,10명,58억,22%
(주)푸르웰,기관 구내식당업,11년차,대기업,101명,142억,19%
인천스마트시티(주),그 외 기타 분류 안된 사업지원 서비스업,10년차,중견기업,79명,84억,32%
한양철강공업(주),그 외 기타 1차 철강 제조업,41년차,중견기업,89명,,
(주)삼송캐스터,그 외 기타 달리 분류되지 않은 운송장비 제조업,42년차,중견기업,60명,,
지엠테크니컬센터코리아(주),기타 공학 연구개발업,,중견기업,"3,150명",,
인천종합에너지(주),"증기, 냉ㆍ온수 및 공기조절 공급업",18년차,대기업,81명,,
태창기계공업(주),금속 주조 및 기타 야금용 기계 제조업,,"대기업,1000대기업",36명,,
(주)케이엠앤아이,자동차용 신품 의자 제조업,18년차,"1000대기업,중견기업",308명,,
(주)포스코인재창조원,기타 교육지원 서비스업,7년차,대기업,153명,,
(주)프레시원미트,기타 가공식품 도매업,10년차,대기업,50명,,
에이에이치(주),기타 항공 운송지원 서비스업,5년차,대기업,211명,,
스카이칠십이(주),골프장 운영업,20년차,중견기업,207명,846억,13%
대성목재공업(주),강화 및 재생 목재 제조업,,중견기업,85명,617억,2%
(주)이원컨테이너터미널,기타 보관 및 창고업,15년차,대기업,88명,,
삼호제강(주),열간 압연 및 압출 제품 제조업,21년차,중견기업,86명,1125억,10%
아주지오텍(주),토공사업,15년차,중견기업,75명,577억,2%
