앰코테크놀로지코리아(주),메모리용 전자집적회로 제조업,23년차,중견기업,"6,362명",2조,56%
혜림건설(주),아파트 건설업,14년차,중견기업,127명,1810억,24%
한국알프스(주),그 외 기타 전기장비 제조업,35년차,"1000대기업,중견기업",787명,7037억,4%
(주)중원컴퍼니,고용 알선업,10년차,중소기업,123명,33억,29%
오텍캐리어(주),공기 조화장치 제조업,37년차,중견기업,457명,,
(주)모아종합건설,기타 토목시설물 건설업,,중견기업,103명,2316억,4%
그린테크(주),그 외 기타 전자부품 제조업,,중소기업,129명,,
(주)위니아에이드,"화물운송 중개, 대리 및 관련 서비스업",7년차,중견기업,493명,4185억,35%
(주)위니아전자,주방용 전기기기 제조업,35년차,대기업,433명,,
(주)연호전자,그 외 기타 전자부품 제조업,40년차,중견기업,91명,1181억,8%
한국프라임제약(주),완제 의약품 제조업,27년차,중견기업,376명,1204억,5%
무등스크린(주),그 외 기타 플라스틱 제품 제조업,10년차,중소기업,37명,,
코비코(주),자동차 차체용 신품 부품 제조업,22년차,,296명,,
(주)하이코리아,그 외 기타 고무제품 제조업,19년차,중소기업,169명,,
(주)탑인프라,일반전기 공사업,21년차,중소기업,107명,,
(주)인포렉스,포털 및 기타 인터넷 정보매개 서비스업,,중소기업,110명,217억,37%
(주)디에이치글로벌,주방용 전기기기 제조업,11년차,중소기업,17명,2629억,38%
케이티네트워크(주),그 외 자동차용 신품 부품 제조업,14년차,중견기업,82명,517억,13%
전남대학교병원,종합 병원,29년차,,"3,739명",7361억,10%
(주)몬스터스튜디오,애니메이션 영화 및 비디오물 제작업,6년차,중소기업,8명,,
(주)태봉,면 방적업,35년차,,135명,463억,60%
디케이(주),주형 및 금형 제조업,26년차,중견기업,225명,,
기아타이거즈(주),그 외 기타 스포츠 서비스업,,대기업,48명,,
(주)티디엘,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",18년차,중소기업,80명,,
비타민하우스(주),건강기능식품 제조업,23년차,중소기업,59명,,
하남전기(주),전동기 및 발전기 제조업,23년차,,130명,,
(주)스마트저축은행,상호저축은행 및 기타 저축기관,50년차,,148명,,
인셀(주),축전지 제조업,19년차,중소기업,60명,334억,167%
(주)대광건영,아파트 건설업,,,183명,4511억,33%
뉴모텍(주),전동기 및 발전기 제조업,21년차,중견기업,199명,917억,1%
(주)캠스,자동차 차체용 신품 부품 제조업,20년차,,121명,,
플라텔(주),운송장비 조립용 플라스틱제품 제조업,30년차,,101명,,
엠피닉스(주),광학렌즈 및 광학요소 제조업,10년차,중소기업,150명,209억,48%
(주)타마스,전동기 및 발전기 제조업,13년차,중소기업,138명,,
전남대학교산학협력단,기타 인문 및 사회과학 연구개발업,,,52명,,
(주)다담리테일,슈퍼마켓,5년차,,317명,1532억,10%
남해종합건설(주),토목시설물 건설업,,,86명,,
(주)씨엠텍,자동차용 신품 의자 제조업,,중소기업,66명,,
(주)이솔,그 외 기타 전자부품 제조업,13년차,중소기업,19명,195억,17%
중흥토건(주),토목시설물 건설업,,"대기업,1000대기업",423명,,
(주)대창,포장용 플라스틱 성형용기 제조업,25년차,,169명,1189억,21%
디스커버믹스테크매뉴팩처링(주),축전지 제조업,18년차,중소기업,20명,383억,5%
수완에너지(주),송전 및 배전업,15년차,중견기업,53명,,
(주)지오메디칼,광학렌즈 및 광학요소 제조업,20년차,중소기업,305명,,
(주)한국경영원,그 외 기타 분류 안된 사업지원 서비스업,,중소기업,123명,90억,2%
경원전자(주),그 외 기타 전자부품 제조업,13년차,중소기업,51명,110억,50%
주식회사 신흥,기타제조업,50년차,중소기업,95명,,
(주)영림테크,그 외 기타 전자부품 제조업,21년차,,102명,,
