(사)한국나눔연맹,그 외 기타 협회 및 단체,9년차,,,,
(주)평화발레오,그 외 자동차용 신품 부품 제조업,34년차,"대기업,1000대기업",707명,,
한국부동산원,부동산 감정평가업,53년차,,733명,1625억,8%
한국산업단지공단,비주거용 부동산 관리업,25년차,1000대기업,502명,,
(주)대주기계,기체 펌프 및 압축기 제조업,26년차,,100명,,
대영채비(주),기타 전기 변환장치 제조업,6년차,중소기업,,375억,48%
경북대학교병원,종합 병원,115년차,,"3,171명",6059억,12%
(주)아세아스틸,열간 압연 및 압출 제품 제조업,27년차,중견기업,74명,,
에스트라오토모티브시스템(주),그 외 자동차용 신품 부품 제조업,38년차,"대기업,1000대기업",638명,,
(주)카펙발레오,그 외 자동차용 신품 부품 제조업,29년차,"1000대기업,중견기업",626명,,
(주)진양오일씰,산업용 그 외 비경화 고무제품 제조업,22년차,중소기업,이명수,908억,5%
(주)커스프,기타 인쇄관련 산업,10년차,중소기업,32명,35억,20%
(주)신도,그 외 자동차용 신품 부품 제조업,18년차,중소기업,102명,,
(주)삼성라이온즈,스포츠 클럽 운영업,,대기업,45명,,
태창철강(주),1차 금속제품 도매업,41년차,중견기업,54명,,
(주)엔유씨전자,주방용 전기기기 제조업,25년차,,220명,538억,31%
크레텍책임(주),기타 산업용 기계 및 장비 도매업,8년차,중견기업,498명,3342억,4%
(주)에스티아이,"산업용 오븐, 노 및 노용 버너 제조업",15년차,중소기업,75명,43억,150%
(주)브리드비인터내셔널,전자상거래 소매 중개업,8년차,중소기업,,100억,381%
(주)브이피에이치씨,그 외 기타 금속가공제품 제조업,5년차,중견기업,183명,,
(주)모간,전기용 탄소제품 및 절연제품 제조업,44년차,,215명,653억,11%
(유)대구특수금속,기타 인쇄업,10년차,중소기업,185명,186억,2%
(주)코그,기타 게임 소프트웨어 개발 및 공급업,,중소기업,151명,,
대영코어텍(주),금속 절삭기계 제조업,15년차,중소기업,111명,,
(주)베스툴,그 외 기타 가구 제조업,,중소기업,209명,,
(재)대구테크노파크,기타 인문 및 사회과학 연구개발업,24년차,,217명,1079억,58%
이인텔리전스(주),자동차용 신품 동력전달장치 제조업,8년차,중견기업,,,
삼익정공(주),구름베어링 제조업,35년차,,94명,,
(주)드림아이디어소프트,유선 온라인 게임 소프트웨어 개발 및 공급업,5년차,중소기업,,5억,401%
(주)삼화테크,자동차 차체용 신품 부품 제조업,13년차,중소기업,124명,,
(사)지방행정발전연구원,경영 컨설팅업,,,17명,19억,34%
(주)에스제이테크,이동전화기 제조업,19년차,,159명,,
(주)장보고식자재마트,기타 가공식품 도매업,17년차,중견기업,"1,042명",3770억,19%
(주)둔차오토모티브,자동차용 엔진 제조업,12년차,중견기업,33명,,
씨지에프(주),기타 통신 판매업,6년차,중소기업,63명,166억,64%
(주)퍼스트인,상용 인력 공급 및 인사관리 서비스업,11년차,중소기업,247명,,
(주)신동양기업,건물용 기계ㆍ장비 설치 공사업,7년차,중소기업,120명,1154억,31%
한국에스케이에프씰(주),그 외 자동차용 신품 부품 제조업,34년차,중견기업,365명,,
(주)우경정보기술,응용 소프트웨어 개발 및 공급업,14년차,중소기업,59명,140억,40%
(주)라온디어스,광고 대행업,2년차,중소기업,8명,,
(학)계명대학교동산의료원,비주거용 건물 임대업,,,"3,684명",3045억,10%
(주)태왕이앤씨,주거용 건물 건설업,12년차,중소기업,169명,2503억,20%
고려전선(주),기타 절연선 및 케이블 제조업,47년차,,60명,653억,3%
(주)동우이앤씨,건축설계 및 관련 서비스업,29년차,,372명,,
(주)삼우농기,농업 및 임업용 기계 제조업,,중소기업,105명,373억,10%
(주)위니텍,컴퓨터시스템 통합 자문 및 구축 서비스업,25년차,중소기업,190명,269억,61%
(주)성진포머,그 외 자동차용 신품 부품 제조업,36년차,,317명,,
(주)씨엠에이글로벌,그 외 기타 분류 안된 섬유제품 제조업,12년차,중소기업,147명,,
(주)삼양금속,그 외 자동차용 신품 부품 제조업,25년차,중소기업,81명,,
(주)상아뉴매틱,운송장비 조립용 플라스틱제품 제조업,26년차,,235명,,
(주)웨어,전자상거래 소매 중개업,4년차,중소기업,,263억,136%
(주)썬텍엔지니어링,"물질 검사, 측정 및 분석기구 제조업",18년차,중소기업,44명,142억,112%
(주)삼보첨단소재,부직포 및 펠트 제조업,43년차,,100명,439억,53%
(주)스프링클라우드,응용 소프트웨어 개발 및 공급업,5년차,중소기업,30명,,
(주)아진피앤피,골판지 제조업,37년차,,248명,,
(주)디젠,"레이더, 항행용 무선기기 및 측량기구 제조업",23년차,,216명,,
현대로보틱스(주),산업용 로봇 제조업,2년차,대기업,364명,,
(주)이투컬렉션,사무 및 회화용품 제조업,10년차,중소기업,108명,190억,40%
인성데이타(주),응용 소프트웨어 개발 및 공급업,21년차,중소기업,58명,199억,8%
이래에이엠에스(주),그 외 자동차용 신품 부품 제조업,5년차,중견기업,793명,,
(주)퓨전소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,23년차,,77명,72억,8%
잘만정공(주),구름베어링 제조업,,중소기업,58명,76억,15%
(주)이튜,응용 소프트웨어 개발 및 공급업,14년차,중소기업,65명,99억,24%
(주)대성하이텍,기타 가공 공작기계 제조업,21년차,중소기업,276명,,
와이제이링크(주),그 외 기타 특수목적용 기계 제조업,13년차,중소기업,70명,,
(주)대명이엔지,디스플레이 제조용 기계 제조업,22년차,,159명,,
굿옥션(주),데이터베이스 및 온라인정보 제공업,15년차,중소기업,,,
하이드로텍(주),유압기기 제조업,19년차,중소기업,43명,242억,3%
대구그린파워(주),화력 발전업,12년차,대기업,42명,3020억,4%
(주)부림약품,의약품 도매업,32년차,중견기업,81명,3995억,6%
거림테크(주),그 외 기타 전자부품 제조업,21년차,중소기업,206명,,
대구염색산업단지관리공단,"증기, 냉ㆍ온수 및 공기조절 공급업",,,220명,,
(주)세양,치과용 기기 제조업,17년차,중소기업,110명,,
한국산업기술평가관리원,기타 공학 연구개발업,13년차,,280명,1조,7%
에스티엠(주),그 외 자동차용 신품 부품 제조업,,중소기업,126명,,
(주)한성피앤아이,기타 인쇄업,28년차,대기업,189명,,
(주)더아이엠씨,응용 소프트웨어 개발 및 공급업,19년차,중소기업,47명,29억,39%
(주)에스닷,"문구용품, 회화용품, 사무용품 도매업",,중소기업,,,
대구도시철도공사,도시철도 운송업,27년차,,"2,391명",2063억,1%
(주)솔라라이트,기타 엔지니어링 서비스업,11년차,중소기업,50명,,
