(주)한국인삼공사,인삼식품 제조업,,"대기업,1000대기업","1,690명",,
한국철도공사,철도 여객 운송업,18년차,대기업,"27,867명",5조,1%
한국수자원공사,생활용수 공급업,34년차,대기업,"4,100명",,
(주)트위니,응용 소프트웨어 개발 및 공급업,7년차,"중소기업,스타트업",69명,13억,372%
(주)제이오텍,"물질 검사, 측정 및 분석기구 제조업",33년차,,219명,,
(주)이삭,기타 가공식품 도매업,18년차,중소기업,40명,344억,14%
비전세미콘(주),반도체 제조용 기계 제조업,21년차,중소기업,110명,315억,91%
(주)금성백조주택,주거용 건물 건설업,,,260명,,
에이치엔에스하이텍(주),전자감지장치 제조업,27년차,,140명,788억,79%
원텍(주),그 외 기타 의료용 기기 제조업,23년차,,150명,,
(주)마인즈랩,데이터베이스 및 온라인정보 제공업,8년차,"중소기업,스타트업",149명,,
에스케이바이오텍(주),의약용 화합물 및 항생물질 제조업,7년차,대기업,392명,,
(주)이지텍,전자상거래 소매 중개업,10년차,중소기업,60명,279억,45%
(주)리얼타임테크,컴퓨터 제조업,22년차,중소기업,33명,,
(주)솔탑,시스템 소프트웨어 개발 및 공급업,23년차,중소기업,95명,138억,23%
신용협동조합중앙회,신용조합,,,"18,000명",,
(주)스페이스솔루션,"탭, 밸브 및 유사장치 제조업",22년차,중소기업,131명,281억,22%
로쏘(주),빵류 제조업,21년차,중소기업,490명,,
한국과학기술원,대학교,51년차,,"3,219명",7457억,3%
(주)진합,볼트 및 너트류 제조업,44년차,중견기업,616명,,
(주)이루다,광고 영화 및 비디오물 제작업,8년차,중소기업,58명,30억,88%
승일미디어그룹(주),"광고물 문안, 도안, 설계 등 작성업",9년차,중소기업,66명,67억,11%
한국화학연구원,"물리, 화학 및 생물학 연구개발업",46년차,,658명,1609억,8%
제일사료(주),배합 사료 제조업,11년차,"대기업,1000대기업",350명,6207억,3%
(주)시드물,화장품 제조업,14년차,중소기업,90명,,
(주)이노바이오써지,정형외과용 및 신체보정용 기기 제조업,14년차,중소기업,179명,207억,25%
충남대학교병원,종합 병원,27년차,,"2,628명",4557억,5%
(주)휴비스,산업처리공정 제어장비 제조업,13년차,중소기업,김명진,119억,68%
(주)켐옵틱스,기타 무선 통신장비 제조업,17년차,중소기업,127명,223억,58%
덕산넵코어스(주),"유인 항공기, 항공우주선 및 보조장치 제조업",10년차,중소기업,154명,374억,15%
(주)아름덴티스트리,치과용 기기 제조업,11년차,중소기업,92명,,
한국생명공학연구원,"물리, 화학 및 생물학 연구개발업",37년차,,408명,1408억,2%
한전원자력연료(주),기타 기초 무기 화학물질 제조업,40년차,대기업,"1,132명",3090억,34%
(주)와이바이오로직스,의학 및 약학 연구개발업,15년차,중소기업,81명,,
(의)영훈의료재단,종합 병원,,,"1,343명",2154억,12%
엘아이지정밀기술(주),컴퓨터 모니터 제조업,22년차,중소기업,21명,47억,3%
한국조폐공사,재정 및 경제정책 행정,71년차,1000대기업,"1,600명",5247억,9%
