(주)그래코퍼레이션,화장품 및 화장용품 도매업,2년차,중소기업,,,
(주)오토닉스,그 외 기타 전자부품 제조업,32년차,중견기업,838명,1231억,3%
(주)퍼스트인코리아,사업시설 유지ㆍ관리 서비스업,8년차,중소기업,106명,36억,8%
(주)퓨트로닉,자동차용 신품 동력전달장치 제조업,29년차,,251명,938억,4%
한국자산관리공사,기금 운영업,25년차,중견기업,"1,328명",,
(주)미스터멘션,포털 및 기타 인터넷 정보매개 서비스업,7년차,"중소기업,스타트업",,18억,270%
삼진식품(주),"수산동물 훈제, 조리 및 유사 조제식품 제조업",7년차,중소기업,229명,553억,57%
(주)삼정,토목시설물 건설업,39년차,,109명,,
더리본(주),장례식장 및 장의관련 서비스업,13년차,,663명,,
(주)더벤티코리아,경영 컨설팅업,7년차,중소기업,,371억,30%
동은단조(주),금속 단조제품 제조업,29년차,중견기업,283명,,
선보공업(주),내연기관 제조업,,,175명,674억,4%
자인이씨엘(주),배관 및 냉ㆍ난방 공사업,17년차,중소기업,9명,49억,29%
(주)태화기업,주형 및 금형 제조업,,,258명,,
(주)엠비모스트,임시 및 일용 인력 공급업,17년차,중소기업,294명,87억,3%
(주)파크랜드,남자용 겉옷 제조업,,중견기업,곽국민/박명규,,
(주)동화엔텍,"증류기, 열교환기 및 가스발생기 제조업",42년차,중견기업,320명,,
(주)화영,그 외 자동차용 신품 부품 제조업,26년차,중소기업,206명,,
(주)창신아이엔씨,신발 도매업,41년차,중견기업,915명,1조,17%
(주)효성전기,기계·설비·자동차,49년차,,280명,,
(주)잇올,상품 종합 도매업,7년차,중소기업,220명,228억,142%
한국인프라관리(주),도로 및 관련시설 운영업,12년차,대기업,68명,573억,24%
나비스오토모티브시스템즈(주),응용 소프트웨어 개발 및 공급업,17년차,중소기업,273명,1008억,13%
트리노드(주),모바일 게임 소프트웨어 개발 및 공급업,4년차,중소기업,185명,503억,3%
(주)지비라이트,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",25년차,중소기업,106명,483억,19%
(주)삼공사,선박 구성 부분품 제조업,45년차,,165명,856억,1%
(주)아난티코브,호텔업,10년차,중소기업,,,
파나소닉신동아(주),"전기회로 개폐, 보호장치 제조업",34년차,,206명,,
비엔스틸라(주)녹산공장,금속·재료·철강·요업,,1000대기업,120명,,
(주)엠에스이엔지,"탭, 밸브 및 유사장치 제조업",40년차,,50명,140억,3%
기술보증기금,보증 보험업,33년차,,"1,355명",3396억,11%
(주)씨엔컴퍼니,가전제품 및 부품 도매업,8년차,중소기업,,244억,6%
윌로펌프(주),액체 펌프 제조업,22년차,중견기업,296명,,
(주)칸투칸,전자상거래 소매업,17년차,중소기업,139명,,
(주)씨알상사,과실류 도매업,,중소기업,15명,524억,30%
기성전선(주),기타 절연선 및 케이블 제조업,,,64명,,
(주)한국거래소,금융시장 관리업,17년차,대기업,920명,,
와이시피(주),강관 제조업,,,190명,,
(주)신기인터모빌,그 외 자동차용 신품 부품 제조업,32년차,중견기업,285명,3239억,21%
삼영엠티(주),알루미늄주물 주조업,20년차,중소기업,232명,,
동아대학교의료원,종합 병원,,,"1,800명",2997억,6%
(주)한인코리아,"골재, 벽돌 및 시멘트 도매업",,중소기업,전명상,113억,37%
대선주조(주),소주 제조업,58년차,중견기업,194명,,
주식회사 아난티코브 부산지점(힐튼부산),서비스업,5년차,,270명,,
삼호산업(주),신발 도매업,32년차,,93명,,
은산해운항공(주),"화물운송 중개, 대리 및 관련 서비스업",29년차,중견기업,133명,1576억,11%
(주)지맥스,자동차용 전용 신품 부품 판매업,19년차,,137명,852억,8%
금문산업(주),도금업,26년차,,210명,,
동아전기공업(주),"전기회로 개폐, 보호장치 제조업",23년차,중소기업,80명,,
세운철강(주),그 외 기타 1차 철강 제조업,44년차,중견기업,169명,,
스타자동차(주),자동차 신품 판매업,22년차,중견기업,234명,,
(주)루메나,주방용 전기기기 제조업,8년차,중소기업,20명,213억,28%
(주)오디오코믹스,음악 및 기타 오디오물 출판업,5년차,중소기업,,28억,114%
(주)동성모터스,자동차 신품 판매업,34년차,,656명,5648억,30%
