에스케이머티리얼즈에어플러스(주),산업용 가스 제조업,15년차,대기업,127명,1573억,29%
에스티엠(주),무기안료용 금속 산화물 및 관련 제품 제조업,11년차,대기업,182명,1680억,9%
동남정밀(주),자동차 엔진용 신품 부품 제조업,35년차,,423명,,
바스프퍼포먼스폴리아마이드코리아(주),합성수지 및 기타 플라스틱 물질 제조업,23년차,,137명,,
플루오린코리아(주),기타 기초 무기 화학물질 제조업,17년차,중견기업,168명,,
에스케이머티리얼즈리뉴텍(주),산업용 가스 제조업,,,27명,259억,15%
코리아피티지(주),석유화학계 기초 화학물질 제조업,23년차,중견기업,137명,,
롯데이네오스화학(주),석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,,"1000대기업,중견기업",208명,,
(주)동희산업,그 외 자동차용 신품 부품 제조업,16년차,중견기업,670명,,
(주)베바스토코리아홀딩스,그 외 자동차용 신품 부품 제조업,35년차,중견기업,328명,3028억,1263%
한국산업인력공단,직원훈련기관,40년차,"기타,1000대기업","1,286명",,
엘에스니꼬동제련(주),"동 제련, 정련 및 합금 제조업",23년차,"대기업,1000대기업",839명,,
신일피엔에스(주),"플라스틱 포대, 봉투 및 유사제품 제조업",35년차,중소기업,170명,647억,7%
한화종합화학(주),석유화학계 기초 화학물질 제조업,34년차,"대기업,1000대기업",370명,,
조양산업(주),그 외 자동차용 신품 부품 제조업,24년차,중소기업,105명,,
현대이엔티(주),기타 엔지니어링 서비스업,18년차,대기업,"1,002명",,
(주)제이엠씨,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,31년차,중견기업,237명,934억,9%
한국이네오스스티롤루션(주),합성수지 및 기타 플라스틱 물질 제조업,14년차,"중견기업,1000대기업",200명,,
한진케미칼(주),일반용 도료 및 관련제품 제조업,11년차,중소기업,43명,,
(주)제일화성,합성수지 및 기타 플라스틱 물질 제조업,,중소기업,72명,,
(주)영광,선박 구성 부분품 제조업,23년차,중소기업,135명,509억,13%
한주금속(주),알루미늄주물 주조업,35년차,,252명,,
(주)티씨티,기타 절연선 및 케이블 제조업,27년차,중견기업,164명,1004억,1%
근로복지공단,산업재해 및 기타 사회보장 보험업,27년차,1000대기업,"6,360명",8680억,2%
영진(주),내부 전기배선 공사업,22년차,중소기업,213명,201억,1%
유나이티드터미널코리아(주),위험물품 보관업,24년차,대기업,67명,185억,12%
(주)티에스케이이앤피,"증기, 냉ㆍ온수 및 공기조절 공급업",9년차,중견기업,43명,,
(주)덕양,산업용 가스 제조업,40년차,"중견기업,1000대기업",170명,,
울산공업학원울산대학교병원,종합 병원,,,"1,386명",3309억,4%
에프유(주),그 외 자동차용 신품 부품 제조업,18년차,중소기업,247명,,
동서석유화학(주),석유화학계 기초 화학물질 제조업,,"대기업,1000대기업",208명,,
(주)한국공정안전센터,환경 관련 엔지니어링 서비스업,2년차,중소기업,김명일,,
한국에너지공단,기타 산업진흥 행정,42년차,,608명,8700억,18%
우수정기(주),그 외 자동차용 신품 부품 제조업,15년차,중소기업,187명,,
오에스(주),그 외 자동차용 신품 부품 제조업,14년차,중소기업,107명,,
(주)대명티에스,그 외 기타 특수목적용 기계 제조업,11년차,중소기업,89명,,
(주)용산,그 외 자동차용 신품 부품 제조업,24년차,중견기업,841명,4262억,8%
(주)이지엠앤씨,광고 대행업,4년차,중소기업,25명,21억,597%
(주)일진에너지,"증류기, 열교환기 및 가스발생기 제조업",8년차,중견기업,53명,753억,30%
(주)에스엠랩,축전지 제조업,4년차,중소기업,44명,1억,131%
(주)바커케미칼코리아,합성수지 및 기타 플라스틱 물질 제조업,,,278명,2114억,7%
(주)엔코아네트웍스,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,13년차,중소기업,35명,90억,20%
(주)티엠프라자,산업처리공정 제어장비 제조업,16년차,중소기업,23명,277억,79%
홍인화학(주),기타 기초 무기 화학물질 제조업,42년차,,49명,,
(주)에스에이씨,그 외 기타 분류 안된 비금속 광물제품 제조업,20년차,,84명,,
쿠라레코리아(유),상품 종합 도매업,8년차,중소기업,90명,1170억,7%
에이스테크(주),그 외 자동차용 신품 부품 제조업,4년차,중소기업,988명,,
현대중공업터보기계(주),액체 펌프 제조업,6년차,대기업,145명,907억,9%
일진에이테크(주),"기타 섬유, 의복 및 가죽 가공 기계 제조업",31년차,중소기업,96명,,
(주)윈테크,그 외 기타 특수목적용 기계 제조업,13년차,중소기업,45명,,
스코아(주),그 외 자동차용 신품 부품 제조업,8년차,중소기업,191명,146억,38%
지에스에코메탈(주),재생용 재료 수집 및 판매업,12년차,대기업,92명,,
(주)한주,"증기, 냉ㆍ온수 및 공기조절 공급업",,"대기업,1000대기업",213명,,
우수AMS(주) 울산지점,기계·설비·자동차,,,330명,,
(주)케이넷이엔지,컴퓨터 프린터 제조업,5년차,중소기업,21명,35억,108%
(주)코디마,주형 및 금형 제조업,22년차,중소기업,19명,,
(주)한동산업,운송장비 조립용 플라스틱제품 제조업,13년차,중소기업,41명,,
한융금속(주),"알루미늄 제련, 정련 및 합금 제조업",24년차,,65명,,
현대중공업모스(주),사업시설 유지ㆍ관리 서비스업,6년차,대기업,813명,,
일진기계(주),그 외 기타 특수목적용 기계 제조업,22년차,,105명,,
(주)창성테크,그 외 자동차용 신품 부품 제조업,22년차,중소기업,45명,,
수성에스피시티(주),"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",,중소기업,21명,,
코스포영남파워(주),화력 발전업,7년차,대기업,60명,,
(주)인화,자동차 차체용 신품 부품 제조업,11년차,중소기업,68명,,
명성공업(주),자동차용 기타 신품 부품 제조업,26년차,,137명,351억,1%
울산엘리야병원,종합 병원,,중소기업,,195억,15%
(주)모팜,자동차 엔진용 신품 부품 제조업,24년차,,74명,,
한국넥슬렌(유),합성수지 및 기타 플라스틱 물질 제조업,7년차,대기업,26명,,
에이케이앤엠엔바이오팜(주),건강기능식품 제조업,14년차,중견기업,78명,201억,8%
동아전지(주),축전지 제조업,17년차,중견기업,41명,,
에이비이씨산업(주),기타 화학물질 및 화학제품 도매업,37년차,,35명,,
(주)서연인더스트리,그 외 기타 분류 안된 사업지원 서비스업,10년차,중견기업,,46억,13%
(주)하나티피에스,골판지 상자 및 가공제품 제조업,20년차,중소기업,74명,,
(주)네오,기타 석유정제물 재처리업,9년차,중소기업,27명,,
울산아로마틱스(주),그 외 기타 분류 안된 화학제품 제조업,12년차,"대기업,1000대기업",17명,3005억,4%
(주)건양,접착제 및 젤라틴 제조업,17년차,중소기업,24명,,
(주)수산이앤에스,기타 엔지니어링 서비스업,11년차,중견기업,619명,,
주은테크(주),주형 및 금형 제조업,7년차,중소기업,58명,,
미쓰이케미칼앤드에스케이씨폴리우레탄(주),석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,7년차,대기업,183명,3711억,4%
이영산업기계(주),선박 구성 부분품 제조업,,,70명,535억,5%
(주)동부에너지,그 외 기타 특수목적용 기계 제조업,11년차,중소기업,13명,,
스마트전자(주),전자저항기 제조업,27년차,,97명,403억,21%
(주)윤영테크,볼트 및 너트류 제조업,20년차,중소기업,26명,,
한국티앤엠(주),산업처리공정 제어장비 제조업,,중소기업,41명,209억,2%
(주)한텍,"증류기, 열교환기 및 가스발생기 제조업",24년차,,155명,,
울산엔지니어링(주),주형 및 금형 제조업,20년차,,35명,,
(주)모듈테크,그 외 자동차용 신품 부품 제조업,17년차,중소기업,481명,421억,5%
에스케이에코프라임(주),상품 종합 도매업,2년차,중견기업,,,
울산과학기술원,기타 자연과학 연구개발업,15년차,,464명,,
정원산업(주),그 외 자동차용 신품 부품 제조업,11년차,중소기업,108명,116억,6%
(주)스윅,선박 구성 부분품 제조업,25년차,중소기업,36명,,
울들병원,일반 병원,,중소기업,76명,158억,11%
(주)한국오엠티,수상 금속 골조 구조재 제조업,11년차,중소기업,65명,,
(주)동아테크놀로지,주형 및 금형 제조업,6년차,중소기업,14명,55억,7%
에이스앤이(주),그 외 기타 분류 안된 화학제품 제조업,,중소기업,10명,37억,54%
씨아이엠(주),그 외 자동차용 신품 부품 제조업,,중소기업,225명,178억,1%
한진피엘(주),그 외 자동차용 신품 부품 제조업,33년차,중소기업,60명,1236억,73%
바스프컬러스앤이펙츠코리아(주),그 외 기타 분류 안된 화학제품 제조업,6년차,중소기업,160명,,
(주)에스이엔씨,임시 및 일용 인력 공급업,10년차,중견기업,360명,312억,21%
부국산업(주),그 외 자동차용 신품 부품 제조업,35년차,,236명,,
에이치에프씨(주),그 외 기타 분류 안된 화학제품 제조업,15년차,중소기업,31명,16억,1%
(주)유니큰,지정 폐기물 처리업,28년차,,67명,,
(주)선우,산업생산시설 종합건설업,28년차,대기업,89명,473억,72%
울산대학교산학협력단,기타 전문 서비스업,18년차,,397명,,
플루오린코리아정밀화학(주),기타 기초 무기 화학물질 제조업,,,,,
(주)아이티공간,유선 통신장비 제조업,20년차,중소기업,25명,32억,6%
(주)대일산업,그 외 자동차용 신품 부품 제조업,10년차,중소기업,김명주,151억,14%
에스엔에프코리아(주)울산공장,석유·화학·에너지,36년차,,100명,,
(주)시너지,컴퓨터시스템 통합 자문 및 구축 서비스업,3년차,중소기업,19명,46억,1249%
신한중공업(주),선박 구성 부분품 제조업,32년차,대기업,170명,,
(주)국토이엔지,자동차용 신품 의자 제조업,3년차,중소기업,,,
탬프(주),기타 산업용 기계 및 장비 도매업,4년차,중소기업,,20억,243%
(주)태원,그 외 자동차용 신품 부품 제조업,33년차,중소기업,81명,,
(주)지테크,그 외 자동차용 신품 부품 제조업,,중소기업,20명,56억,3%
(주)티이씨,건물용 기계ㆍ장비 설치 공사업,24년차,중소기업,24명,,
코스모에코켐(주),그 외 기타 분류 안된 비금속 광물제품 제조업,5년차,중소기업,29명,300억,2%
(주)에이테크,응용 소프트웨어 개발 및 공급업,4년차,중소기업,9명,13억,432%
(주)양지,그 외 자동차용 신품 부품 제조업,18년차,중소기업,44명,204억,7%
이스트만화이버코리아(주),합성섬유 제조업,13년차,중견기업,123명,,
덕산홀딩스(주),지주회사,9년차,중소기업,26명,146억,39%
(의)득명의료재단씨엘요양병원,일반 병원,7년차,,85명,50억,6%
현대힘스(주),선박 구성 부분품 제조업,14년차,대기업,96명,1297억,12%
(주)비케이로직스,기타 육상 운송지원 서비스업,17년차,중소기업,109명,117억,3%
(주)라한호텔,호텔업,21년차,대기업,484명,,
(주)비앤케이,포장용 플라스틱 성형용기 제조업,13년차,중소기업,13명,43억,9%
(주)제이콘,건물용 기계ㆍ장비 설치 공사업,31년차,중소기업,111명,,
(주)보생산업,건설 및 채광용 기계장비 제조업,14년차,중소기업,,53억,24%
(주)대솔아이엠,그 외 자동차용 신품 부품 제조업,,중소기업,8명,251억,53%
송재산업(주),건설 및 채광용 기계장비 제조업,,중소기업,29명,84억,37%
아이윤안과병원,일반 의원,,1000대기업,,47억,11%
(주)이에스티그린,물질성분 검사 및 분석업,3년차,중소기업,35명,,
(주)롤이엔지,그 외 자동차용 신품 부품 제조업,8년차,중소기업,18명,,
(주)유시스,시스템 소프트웨어 개발 및 공급업,18년차,중소기업,44명,,
울산광역시도시공사,기타 부동산 개발 및 공급업,,,56명,,
(주)디에이치아이,그 외 자동차용 신품 부품 제조업,24년차,중소기업,47명,,
부강종합건설(주),토목시설물 건설업,21년차,중소기업,71명,861억,23%
(주)한현피앤티,자동차 차체용 신품 부품 제조업,16년차,중소기업,65명,,
(주)동림티엔에스,응용 소프트웨어 개발 및 공급업,20년차,중소기업,60명,,
에스케이피아이씨글로벌(주),그 외 기타 분류 안된 화학제품 제조업,2년차,대기업,326명,,
(주)현대로직스,택배업,12년차,중소기업,2명,,
동신산업(주),그 외 자동차용 신품 부품 제조업,32년차,,112명,280억,1%
(주)브랜드뉴,절삭가공 및 유사처리업,7년차,중소기업,1명,6억,29%
인터엑스,모바일 게임 소프트웨어 개발 및 공급업,,중소기업,,,
(주)에이비에이치,기타 주변기기 제조업,5년차,중소기업,,5억,412%
(주)정일스톨트헤븐울산,위험물품 보관업,37년차,,144명,1077억,4%
(주)민성,일반 통신 공사업,15년차,중소기업,60명,,
(주)국일인토트,"탭, 밸브 및 유사장치 제조업",31년차,,110명,263억,23%
(주)세양물류,일반 화물자동차 운송업,26년차,,133명,,
(주)모은정보기술,응용 소프트웨어 개발 및 공급업,10년차,중소기업,19명,30억,54%
(주)한세,기타 절연선 및 케이블 제조업,15년차,중소기업,40명,265억,22%
전진산업(주),그 외 자동차용 신품 부품 제조업,5년차,중소기업,141명,331억,51%
다한,응용 소프트웨어 개발 및 공급업,,,,15억,6%
알리스타,그 외 기타 일반목적용 기계 제조업,,중소기업,,,
동일산업(주),건물용 기계ㆍ장비 설치 공사업,34년차,중소기업,519명,,
(주)대미,그 외 기타 분류 안된 화학제품 제조업,,중소기업,10명,,
지아이에프코리아(주),그 외 기타 전기장비 제조업,6년차,중소기업,9명,7억,54%
(주)유벡,산업생산시설 종합건설업,32년차,중소기업,195명,1660억,23%
(주)밀레니엄숲,환경 관련 엔지니어링 서비스업,22년차,중소기업,23명,32억,32%
(주)세진메탈,"알루미늄 제련, 정련 및 합금 제조업",35년차,중견기업,128명,1558억,2%
에스아이에스(주),산업처리공정 제어장비 제조업,18년차,중소기업,57명,,
(주)극동자동화,산업용 냉장 및 냉동 장비 제조업,31년차,중소기업,43명,,
(주)아이라이트,그 외 기타 전자부품 제조업,9년차,중소기업,5명,,
(주)탑아이엔디,그 외 자동차용 신품 부품 제조업,10년차,중소기업,86명,,
오드펠터미널코리아(주),위험물품 보관업,21년차,,61명,230억,4%
(주)삼미기계,그 외 기타 특수목적용 기계 제조업,28년차,중소기업,42명,211억,16%
(주)한강운수,"화물운송 중개, 대리 및 관련 서비스업",24년차,중소기업,14명,74억,138%
(주)인사이트온,기타 엔지니어링 서비스업,7년차,중소기업,,40억,78%
