(유)스태츠칩팩코리아,기타 반도체소자 제조업,31년차,대기업,"2,690명",6578억,50%
동서식품(주),커피 가공업,54년차,"중견기업,1000대기업","1,147명",1조,1%
앰코테크놀로지코리아㈜ K5공장,54년차,54년차,,"5,930명",,
(주)제이에이에스,기타 항공 운송지원 서비스업,22년차,중견기업,613명,,
(재)인천문화재단,그 외 기타 협회 및 단체,,,74명,160억,7%
(주)예림임업,표면 가공 목재 및 특정 목적용 제재목 제조업,17년차,중소기업,343명,1129억,19%
(주)경신,자동차용 신품 전기장치 제조업,48년차,"대기업,1000대기업","1,296명",1조,4%
한국지엠(주),승용차 및 기타 여객용 자동차 제조업,20년차,,"8,833명",8조,1%
(주)이도,사업시설 유지ㆍ관리 서비스업,16년차,중소기업,329명,938억,77%
삼성바이오에피스(주),의학 및 약학 연구개발업,10년차,대기업,921명,7829억,2%
대동하이렉스(주),그 외 자동차용 신품 부품 제조업,19년차,중견기업,216명,,
(주)아이리스코리아,그 외 기타 상품 전문 도매업,,,59명,347억,74%
(주)대한솔루션,폴리스티렌 발포 성형제품 제조업,39년차,"1000대기업,중견기업",910명,,
신한다이아몬드공업(주),톱 및 호환성 공구 제조업,45년차,"1000대기업,중견기업",530명,,
(주)케이앤비이,전기ㆍ전자공학 연구개발업,8년차,중소기업,91명,35억,373%
오덱(주),자동차 엔진용 신품 부품 제조업,37년차,중견기업,242명,4897억,23%
청라에너지(주),"증기, 냉ㆍ온수 및 공기조절 공급업",17년차,대기업,34명,783억,14%
티오케이첨단재료(주),감광재료 및 관련 화학제품 제조업,10년차,중견기업,126명,1724억,26%
한일튜브(주),그 외 자동차용 신품 부품 제조업,53년차,,341명,,
(주)포스코에이앤씨건축사사무소,건축설계 및 관련 서비스업,43년차,대기업,811명,,
만도헬라일렉트로닉스(주),자동차용 신품 조향장치 및 현가 장치 제조업,14년차,"대기업,1000대기업",780명,5108억,13%
스위스포트코리아(주),기타 항공 운송지원 서비스업,21년차,중소기업,825명,,
디엠바이오(주),완제 의약품 제조업,7년차,중견기업,211명,,
(주)뮬라,남녀용 겉옷 및 셔츠 도매업,9년차,중소기업,22명,453억,53%
인천공항시설관리(주),공항 운영업,5년차,중소기업,"3,605명",1424억,88%
(주)코스모코스,화장품 제조업,28년차,대기업,263명,,
이앤디일렉트릭(주),기타 엔지니어링 서비스업,12년차,중소기업,20명,24억,41%
(주)셀리턴,화장품 제조업,11년차,중소기업,112명,,
(주)비에스이,기타 음향기기 제조업,35년차,,233명,,
(주)쉥커코리아,"화물운송 중개, 대리 및 관련 서비스업",25년차,,401명,3334억,62%
(주)경신홀딩스,지주회사,23년차,중견기업,88명,,
(주)샤프테크닉스케이,기타 항공 운송지원 서비스업,,중소기업,219명,127억,432%
(주)에몬스가구,기타 목재가구 제조업,25년차,,281명,1864억,10%
바른솔루션,상품 종합 도매업,,중소기업,4명,,
(주)동보,자동차 엔진용 신품 부품 제조업,37년차,중견기업,821명,,
에이에이씨티(유),기타 보관 및 창고업,,중소기업,190명,212억,13%
에이티아이(주),"물질 검사, 측정 및 분석기구 제조업",26년차,중소기업,208명,,
엔프라니(주),화장품 제조업,21년차,,84명,,
(주)카네비컴,전자감지장치 제조업,21년차,중소기업,189명,,
(주)서울화장품,화장품 제조업,19년차,중소기업,228명,938억,22%
(주)스카이공공칠,화장품 제조업,18년차,중소기업,55명,,
한국훼스토(주),유압기기 제조업,42년차,,241명,1021억,5%
(주)태안모터스,자동차 신품 판매업,17년차,중견기업,478명,4137억,100%
경방신약(주),한의약품 제조업,,,165명,303억,5%
(주)대연,운동 및 경기용품 도매업,13년차,중소기업,540명,2227억,10%
풍산특수금속(주),열간 압연 및 압출 제품 제조업,14년차,중견기업,147명,,
다이후쿠코리아(주),컨베이어장치 제조업,25년차,,126명,563억,45%
