,sector
0,메모리용 전자집적회로 제조업
1,아파트 건설업
2,그 외 기타 전기장비 제조업
3,고용 알선업
4,공기 조화장치 제조업
5,기타 토목시설물 건설업
6,그 외 기타 전자부품 제조업
7,"화물운송 중개, 대리 및 관련 서비스업"
8,주방용 전기기기 제조업
9,완제 의약품 제조업
10,그 외 기타 플라스틱 제품 제조업
11,자동차 차체용 신품 부품 제조업
12,그 외 기타 고무제품 제조업
13,일반전기 공사업
14,포털 및 기타 인터넷 정보매개 서비스업
15,그 외 자동차용 신품 부품 제조업
16,종합 병원
17,애니메이션 영화 및 비디오물 제작업
18,면 방적업
19,주형 및 금형 제조업
20,그 외 기타 스포츠 서비스업
21,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
22,건강기능식품 제조업
23,전동기 및 발전기 제조업
24,상호저축은행 및 기타 저축기관
25,축전지 제조업
26,운송장비 조립용 플라스틱제품 제조업
27,광학렌즈 및 광학요소 제조업
28,기타 인문 및 사회과학 연구개발업
29,슈퍼마켓
30,토목시설물 건설업
31,자동차용 신품 의자 제조업
32,포장용 플라스틱 성형용기 제조업
33,송전 및 배전업
34,그 외 기타 분류 안된 사업지원 서비스업
35,기타제조업
36,그 외 기타 1차 철강 제조업
37,폴리스티렌 발포 성형제품 제조업
38,기타 의료용 기기 제조업
39,주거용 건물 개발 및 공급업
40,건물 건설업
41,비주거용 건물 임대업
42,정기 광고간행물 발행업
43,"전자기 측정, 시험 및 분석기구 제조업"
44,비주거용 부동산 관리업
45,일반 병원
46,차체 및 특장차 제조업
47,전자상거래 소매업
48,도시철도 운송업
49,산업용 그 외 비경화 고무제품 제조업
50,기타 무선 통신장비 제조업
51,응용 소프트웨어 개발 및 공급업
52,스크린 인쇄업
53,일반 영화 및 비디오물 제작업
54,감광재료 및 관련 화학제품 제조업
55,물류 터미널 운영업
56,기타 운송장비 임대업
57,그 외 기타 의료용 기기 제조업
58,기어 및 동력전달장치 제조업
59,기타 주변기기 제조업
60,산업용 냉장 및 냉동 장비 제조업
61,자동차용 금속 압형제품 제조업
62,시스템 소프트웨어 개발 및 공급업
63,시멘트 제조업
64,타이어 재생업
65,전자상거래 소매 중개업
66,음악 및 기타 오디오물 출판업
67,비메모리용 및 기타 전자집적회로 제조업
68,기타 물품 취급장비 제조업
69,"도배, 실내장식 및 내장 목공사업"
70,연료용 가스 제조 및 배관공급업
71,광섬유 케이블 제조업
72,금속 절삭기계 제조업
73,기타 가공 공작기계 제조업
74,배전반 및 전기 자동제어반 제조업
75,주거용 건물 건설업
76,전기용 기계ㆍ장비 및 관련 기자재 도매업
77,화장품 및 화장용품 도매업
78,방송 프로그램 제작업
79,에너지 저장장치 제조업
80,의료기기 도매업
81,기타 표시장치 제조업
82,공연 기획업
83,화학 살균ㆍ살충제 및 농업용 약제 제조업
84,주류 도매업
85,자동차 엔진용 신품 부품 제조업
86,사업시설 유지ㆍ관리 서비스업
87,요양 병원
88,유압기기 제조업
89,"컴퓨터 및 주변장치, 소프트웨어 도매업"
90,모바일 게임 소프트웨어 개발 및 공급업
91,그 외 기타 특수목적용 기계 제조업
92,합성수지 및 기타 플라스틱 물질 제조업
93,"신선, 냉동 및 기타 수산물 도매업"
94,빵류 제조업
95,"알루미늄 제련, 정련 및 합금 제조업"
96,일반 의원
97,자동차 신품 판매업
98,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업
99,커튼 및 유사제품 제조업
100,"탭, 밸브 및 유사장치 제조업"
101,광고 대행업
102,기타 교육지원 서비스업
103,상품 종합 중개업
104,주거용 부동산 관리업
105,일반용 전기 조명장치 제조업
106,자동차용 신품 전기장치 제조업
107,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
108,"물질 검사, 측정 및 분석기구 제조업"
109,포장 및 충전업
110,자동차 임대업
