,대분류,p2000년,p2005년,p2010년,p2015년,p2020년,c2000년,c2005년,c2010년,c2015년,c2020년
0,A,0,3,47,197,223,1,2,14,11,8
1,B,0,0,0,0,0,2,1,0,1,0
2,C,28,35,991,1830,2582,546,461,701,1327,590
3,D,23,28,471,829,1162,1,1,1,7,1
4,E,4,15,327,482,633,38,33,46,55,29
5,F,3,27,259,478,601,133,200,241,414,183
6,G,0,5,362,646,626,132,220,404,950,452
7,H,0,5,329,612,609,54,47,79,91,39
8,I,0,4,106,174,168,4,7,19,58,29
9,J,0,2,410,783,731,8,29,48,87,63
10,K,0,4,205,315,235,3,9,28,43,12
11,L,0,4,139,208,185,44,29,87,187,144
12,M,32,69,1078,2542,3102,35,43,92,156,89
13,N,5,43,568,1014,1027,20,41,76,105,36
14,O,0,22,366,749,883,0,0,0,0,0
15,P,4,53,416,1155,1190,2,3,15,37,16
16,Q,4,8,232,706,1084,6,2,8,7,1
17,R,0,3,163,273,368,2,6,5,12,3
18,S,0,2,40,96,149,10,15,22,47,32
19,T,0,0,0,0,0,0,0,0,0,0
20,U,0,28,189,357,365,0,0,0,1,0
