0,1,2,3,4,5
1,인천시 예산결정과정에 관한 연구 : 인천대학교 특별회계를 중심으로 = (A) study on the budgetary process the incheon metropolitan city : a case study on the special account for the university of incheon,정형섭,학위논문(석사)-- 인천대학교 행정대학원: 일반행정학과 행정이론전공 2003,2003,"인천시 , 예산결정과정 , 예산"
2,SD기법을 활용한 화물교통량 예측에 관한 연구 : 인천대교 사례를 중심으로 = (A) study on the cargo traffic forecasting using system dynamics : case of Incheon bridge,최도원,학위논문(박사) -- 仁川大學校 東北亞物流大學院 物流經營學科 2011,2011,
3,한국 최초 숲유치원 교육에 관한 연구 : 인천대학교 숲유치원을 중심으로 = (A) study on the first forest-kindergarten education in Korea,김은숙,학위논문(박사) -- 인천대학교 대학원 교육학과 2010,2010,
4,한국 최초의 숲유치원에서의 자유놀이가 유아의 창의성에 미치는 영향 : 인천대학교 숲유치원을 중심으로 = Impact on the child's creativity of Free play in the Korea's first Forest kindergarten : Case of Incheon University Forest Kindergarten,김연,학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공 2011. 2,2011,"숲유치원 , 자유놀이 , 창의성"
5,행정실장의 리더십유형과 직원들의 직무만족도간의 관계 연구 : -인천광역시 서부교육청 소속 초?중학교를 중심으로- = A Study on the Relationship between Administrative Chief's Leadership Type and Employees' Job Satisfaction in Schools,이해경,학위논문(석사)-- 인천대학교 행정대학원: 일반행정학과 행정이론 2010. 2,2010,
6,유아 영어 어휘 습득을 위한 오감 활용 체험 수업 연구 = A Study of Experience Class Using Five Senses on English Vocabulary Learning for Infants,신애숙,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2013. 8,2013,
7,노인요양시설 종사자의 조직몰입에 관한 비교 연구 : 인천광역시 개인시설 및 법인시설 비교를 중심으로,김정은,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2011. 8,2011,
8,"최대운동 후 경혈지압·마사지·동적회복 방법에 따른 혈중 젖산 및 암모니아 농도의 변화 = Change in Blood Lactate and Ammonia Concentration According to Medifinger, Massage, and Kinetic Recovery Methods After Maximal Exercise",한상호,학위논문(석사)-- 인천대학교 : 체육교육전공 스포츠의학 2014. 2,2014,"최대운동 , 경혈지압 , 마사지 , 동적회복 , 젖산 , 암모니아"
9,"지역자활센터 실무자의 직무환경이 직무성과에 미치는 영향 : 인천, 경기 지역자활센터를 중심으로",송예순,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2010. 2,2010,
10,중학생의 스포츠클럽 참여만족이 관여도와 교우관계에 미치는 영향 = The Effect of the Participation Satisfaction of Middle School Students' Sports Club on Involvement and Peer Relation,성현수,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2014. 2,2014,
11,중년여성의 생활체육 배드민턴 참여와 여가만족의 관계 = The Relationship between Participation in Badminton as a Sport for All and Leisure Satisfaction in Middle-Aged Women,김길숙,학위논문(석사)-- 인천대학교 일반대학원: 체육학과 트레이닝 2010. 2,2010,"생활체육(sport for all) , 여가몰입(leisure flow) , 여가권태(leisure boredom) , 여가만족(leisure satisfaction)"
12,茶山 鄭若鏞의 敎育觀에 관한 硏究 = A Study on Dasan Jeong Yak-Yong's View of Education,康龍福,학위논문(석사)-- 仁川大學校 敎育大學院: 一般社會敎育 專攻 2001,2001,"다산 , 정약용 , 교육관"
13,ASP를 이용한 전공선택 데이터베이스 시스템 설계 및 구현 = Design and Implementation of a Database System for a Major Selecting using ASP,김학희,학위논문(석사)-- 인천대학교 대학원: 경영학과 2004. 2,2004,"ASP , 전공선택 , 데이터베이스 시스템 , 데이터베이스"
14,스포츠 센타 지도자의 라이프 스타일과 직무태도 관계 = The relation between the sport center instructor's lifestyle and job attitude,김광연,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과(일반) 2007. 2,2007,"라이프 스타일과 직무태도 관계 , lifestyle"
15,기초지방선거 정당공천에관한 인식조사 연구 = A Study on the Perception of Political Party Recommendation of Candidates in Basic Local Government Officials Elections,남궁형,학위논문(석사)-- 인천대학교 행정대학원 : 일반행정학과 2010. 8,2010,정당공천
16,대학생의 부모진로기대와 불확실성에 대한 인내력 부족이 진로미결정에 미치는 영향: 역기능적 진로사고의 매개효과 = Career Indecision according to Parental Career Expectation and Intolerance of Uncrtainty of College Student: The Mediating Effects of Dysfunctional Career Thoughts,석효열,"학위논문(석사)-- 인천대학교 대학원, 인천대학교 교육대학원 : 상담심리전공 상담심리 2016. 8",2016,"불확실성에 대한 인내력부족 , 진로미결정 , 역기능적 진로사고 , 부모진로기대"
17,Light in August에 나타나는 질서의식,박미경,"석사학위논문:-- 仁川大學校 敎育大學院 , 1996",1996,"LIGHT , AUGUST에 , 질서의식 , 인천대학교"
18,朝鮮時代 陶磁器에 나타난 植物紋樣 象徵에 관한 硏究,김미선,학위논문(석사)-- 仁川大學校 敎育大學院 1996,1996,"조선시대 , 도자기 , 식물문양 , 상징 , 인천대학교"
19,對中國 直接投資에 관한 硏究,김순중,학위논문(석사)-- 仁川大學校 敎育大學院 1996,1996,"대중국 , 직접투자 , 인천대학교"
20,부천지역 고등학교 상담실태 분석 및 상담활동 활성화 방안 연구 = A Study on the Current Practices and of High School Counseling in Bucheon,김경자(金京子),학위논문(석사)-- 인천대학교 교육대학원 : 0MAI 2006. 2,2006,"고등학교 , 상담실태 , 상담활동 , 활성화 , Current , Practices , Future , Direction , High , School , Counseling"
21,海上保險에 있어서 擔保(Warranty)의 理論的 體系와 實務適用에 관한 硏究,이창길,학위논문 -- 인천대학교 대학원 : 무역학과 국제상학전공 2001,2001,
22,병원사례를 통한 의료보호제도 개선방안 연구 = A Study on the Improvement Plans of the Medical Assistance Program -Focused on the case of hospitals-,김순미,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2008. 8,2008,"병원사례를 통한 의료보호제도 개선방안 연구 인천대학교 행정대학원 사회복지학과 김 순 미 국민기초생활보장법이 경제위기 및 대량 실업 등으로 위기에 직면해 있던 저소득 빈곤층의 실업과 빈곤의 문제를 , ABSTRACT , A , Study , on , the , Improvement , Plans , of , the , Medical , Assistance , Program , -Focused , on , the , case , of , hospitals , Kim , Sun , Mi , Department , of , Social , Welfare , Graduate , School , of , Pubic , Administrati"
23,"상업스포츠센터 종사자의 직무스트레스, 조직몰입 및 이직의도의 관계 = The Relationship among Job Stress, Organizational Commitment,",이태경,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과 스포츠경영 2015. 2,2015,"상업스포츠센터 , 직무몰입 , 이직의도 , 직무스트레스"
24,스크린 골프장의 물리적 환경이 재방문 및 추천의도에 미치는 영향 = The Effect of Physical Enviroment of Screen-Golf on Re-visit and Intention of Recommendation,양성준,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과 2011. 2,2011,"물리적환경 , 추천의도 , 재방문의도"
25,초등 영재 수업에 나타난 교사와 학생의 언어적 상호작용 분석 = A study on Linguistic interaction analysis of a teacher and the student who appeared to an elementary gifted class,전병화,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2011. 2,2011,"수업분석 , Flanders 수업분석"
26,대학 골프지도자에 대한 생애사 연구 = Life History Research on a Golf Coach for College Student Athletes,임성호,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2012. 2,2012,"골프지도자 , 생애사"
27,중국인 학습자를 위한 '한자어+하다' 형용사 교육 연구 = A Study on the Education of Korean ‘한자어+하다’Adjectives for Chinese Learners,유염염,"학위논문(석사)-- 인천대학교 대학원, 인천대학교 한국어교육대학원 : 한국어교육학과 한국어교육학과 2016. 2",2015,"중국인 학습자 , '한자어+하다' 형용사 , 대조 , 오류분석 , 교육방안"
28,"Taxonomic study of the genus Meganola (Lepidoptera, Noctuoidea, Nolidae) from Korea",차영빈,학위논문(석사)-- 인천대학교 생명과학과 : 생명과학과 2019. 8,2019,"Lepidoptera , Nolidae , Nolinae , Meganola , new species , new record , taxonomy , distribution , host plants , Korea"
29,대학 교육원가와 활용방안에 관한 연구,김종은,학위논문(석사)-- 인천대학교 : 무역학과 2014. 2,2014,
30,학교 유도 시설 환경이 고등학교 유도 선수들의 운동 만족 및 몰입에 미치는 영향,김현용,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2013. 8,2013,
31,외래어 사용 오류 분석 및 교육방안 연구 : 중국인 한국어 학습자를 대상으로 = A Study on Error Analysis and Education Programs of Korean Loan Word for Chinese Students,손정정,학위논문(석사)-- 인천대학교 대학원 : 국어국문학과 국어국문 2010. 8,2010,"외래어 , 오류 분석 , 중국인"
32,배관 고정식 압축공기포시스템(CAFS) 소화설비의 소화성능에 관한 연구 = A study on the fire extinguishing performance of a compressed air foam system in the fixed - pipe suppression systems,이장원,학위논문(박사) -- 인천대학교 대학원 안전공학과 2016,2016,
33,지방공기업의 민간자본투자에 관한 연구 : 인천대 송도신캠퍼스 조성 사례를 중심으로 = A Study on the Private Capital Investment of Local Public Enterprise,권오경,학위논문(석사)-- 인천대학교 대학원 : 무역학과 2010. 2,2010,
34,지역문화 역량 강화를 위한 대학의 역할 : 지역문화전문인력 양성을 중심으로 = The Role of University to Strengthen the Competence of Regional Culture : Focused on fostering local cultural experts,강상미,학위논문(석사)-- 인천대학교 문화대학원 : 지역문화기획학과 2019. 2,2019,"지역문화 , 대학의 역할 , 지역문화전문인력 , 인력양성"
35,스토리텔링을 활용한 신체표현활동이 유아의 놀이성에 미치는 영향,박윤정,학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공 2014. 2,2014,
36,컴퓨터공학 전공적합성에 대한 성격 및 감성지능의 상관성 연구 = A Study on the Correlation of Personality traits and Emotional Intelligence to Major Satisfaction in Computer Science,서예솔,학위논문(석사)-- 인천대학교 교육대학원 : 컴퓨터교육전공 2020. 8,2020,"컴퓨터공학 , 전공적합성 , 감성지능 , 성격"
37,지역건강가정지원센터 사례연구 및 발전방안에 관한 연구 = A study on The Case Study and Development Direction of regional Healthy Family-Support Center,전일광,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2008. 2,2008,"인천대학교 , 학산도서관 , 지역건강가정지원센터"
38,여성인권지원 단체 활동가의 여성주의 의식이 소진에 미치는 영향,정미진,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2010. 2,2010,
39,리더쉽 주제 그림책에 대한 토의 활동이 유아의 자아존중감에 미치는 영향,박현숙,학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공 2014. 8,2014,
40,類義語 「しる」「わかる」의 意味에 관한 考察 = A Study on the Meaning of the Synonyms ‘siru’ ＆ ‘wakaru’,편귀진,학위논문(석사)-- 인천대학교 교육대학원 : 일어일문학과 2005. 2,2005,"유의어 , 의미 , 일본어 , 석사 , 교육대학원 , 인천대학교 , synonym , meaning , siru , wakaru , japanese , education , major , graduate , school , of , education , University , Of , Incheon"
41,노인의 신체적 자기개념 구성요소 및 개념적 구조 = Conceptual Structure and Component of Physical self-concept of the Elderly,이혜정,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과 스포츠심리학 2015. 2,2015,"노인 , 자기개념 , 신체적 자기개념 , 신체활력 , 외모"
42,성인평생학습자를 위한 팝송활용수업모형 연구 = The study of English teaching model for lifelong learners,김흥숙,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2014. 8,2014,"팝송 , 평생학습자 , 동기 , 문화 , 자기주도학습"
43,인천광역시 푸드 뱅크 사업의 기업기탁 증대방안 연구 = A Study on the Measures to Enhance Deposit from Large Private Companies to Food Bank Projects in Incheon,유주현,학위논문(석사)-- 인천대학교 행정대학원: 사회복지학과 사회복지학 2010. 8,2010,"푸드 뱅크 , 기업 기탁 , 나눔의 실천"
44,팀 활동 체육수업에 의한 정서발달이 중학생들의 체육수업 선호도에 미치는 영향,양정환,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2013. 2,2013,
45,2018학년도 대학수학능력 영어영역 절대평가 시행에 대한 학생 인식 조사 : 1회 실시 수험자인 고등학교 1학년을 대상으로 = A Study of Students' Perceptions on Criterion-Referenced Evaluation of CSAT (College Scholastic Ability Test) in 2018,이지현,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2016. 8,2016,"수능 영어영역 절대평가 , 영어사교육 , 대학별 고사 , 말하기 평가"
46,노인요양병원 자원봉사활동 만족도와 활성화 방안에 관한 연구 : -인천광역시를 중심으로- = A study on the determinations of volunteer's work satisfaction and the activationin the aged nursing home-Centering around of Incheon City-,황인근,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2010. 2,2010,
47,"FIN수영이 중년여성의 신체조성, 근력, 혈중지질 및 골밀도에 미치는 영향 = Effects of Fin Swimming on the Body Composition, Muscular Strength, Blood Lipids and Bone Density in Middle Aged Women",이건호,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과 스포츠의학 2013. 2,2013,
48,최상위 수준 수학 영재아의 수학적 특성과 사고과정에 관한 사례연구 = A Case Study of Two Exceptionally Gifted Students in Mathematics,김혜경,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2008. 8,2008,"최상위수준 , 수학영재아 , 수학적특성 , 사고과정"
49,"초등 저학년 고도 영재들의 인지적, 비인지적 특성에 관한 사례연구",이지현,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2011. 2,2011,
50,청주출토 김원택일가 출토의복 보존처리에 관한 연구 = A Study on the Conservation of Excavated Costumes From the Family of Kim Won-teak in Cheongju,양미,학위논문(석사)-- 인천대학교 일반대학원 : 의류학과(일반) 2008. 8,2008,"출토복식 , 보존처리 , Excavated , CostumesConservation"
51,K-리그의 승강제 도입 전후 득점 유형 비교 분석,장우성,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 운동역학 2017. 2,2017,
52,스마트 기술을 활용한 국제특송(EMS) 활성화 방안 = The Strategy of Express Mail Service(EMS) through Smart Technology.,조인숙,학위논문(석사)-- 인천대학교 경영대학원 : 경영학과 경영전공 2013. 2,2013,"국제특송(EMS) , Smart Technology , DHL , FedEx , TNT , UPS"
53,항공영어 및 항공정비 영어의 사용실태 분석과 개선방안 연구 = Analysis of the use of Aviation and Aircraft maintenance English,조태권,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2006. 2,2006,"인천대학교 , 학산도서관"
54,노인일자리사업의 효율적 운영방안에 관한 연구 : 인천광역시를 중심으로 = A Study of Effective Measures for Operating the Active Senior Job Placement Project : Focused on Incheon Metropolitan City,김재천,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과(행정) 2008. 2,2008,
55,합성계면활성제 포소화약제 압축공기포(CAF)의 발포성능 기반 축소모형 소화성능에 관한 연구 = A study on the foaming performance evaluation scaled model fire extinguishing performance based on compressed air foam in synthetic surfactant fire extinguishing agent,이영기,학위논문(박사) -- 仁川大學校 大學院 安全工學科 2018,2018,
56,영재의 지능과 창의성 수준에 따른 학습전략의 차이 = Difference in Learning Strategies According to the Gifted Students' Intelligence and Creativity Level,이미숙,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2009. 2,2009,"intelligence , creativity , learning , strategies"
57,과학영재와 일반학생의 인성에 따른 학습방법 = The Personality of Scientifically Gifted and Non-Gifted Students,허정원,학위논문(석사)-- 인천대학교 교육대학원: 영재교육전공 영재교육 전공 2006. 8,2006,"과학영재 , 일반학생 , 인성 , 학습방법 , scientifically gifted students , non-gifted students , personality traits and learning method"
58,"인성, 학습방법, 지능이 과학영재들의 학업성취에 미치는 영향 = A Study about the effect of the Personality, the Learning Method, and the Intelligence on the Scientifically gifted students' Scholastic Achievement",김영안,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2008. 2,2008,"영재 , 학업성취 , 인성 , 지능 , 학습방법"
59,시각장애인 보행보조시스템에 관한 연구 = A Study on the Walking Assistant System for Visually Impaired Person,최형환,학위논문(석사)-- 인천대학교 일반대학원 : 메카트로닉스공학과 차세대전장 시스템 2018.2,2018,"시각장애 , 시각장애인 , 보행보조 시스템"
60,여고생 화장의 행태 추이분석 및 교육적 접근 : - 2013년과 2016년의 비교와 찬·반 의견 중심으로 - = An Analysis of High School Girls' Behavior Development in Cosmetic Use and An Educational Approach : With a focus on the comparison of 2013 with 2016 and the pros and cons,이효상,학위논문(석사)-- 인천대학교 교육대학원 : 일반사회교육전공 2017. 8,2017,"여고생 , 화장 , 화장품 , 화장 허용 , 교육적 접근"
61,동일계 대학 진학률 상승에 따른 실업계 고등학생들의 진학지도 = Guidance for the Students in Vocational Schools According to the Increasement of the Rate of Going to a Same Major University.,임향미,학위논문(석사)-- 인천대학교 교육대학원 : 전자교육전공 2008. 2,2008,"동일계 , 실업계 , 진학지도"
62,"유의 관계 양태 부사 교육 연구 : - '꼭, 당연히'와 '아마, 혹시'를 중심으로 - = A Study on education of Synonymous Modal Adverbs. : - Focusing on 'kkok, dangyeonhi' and 'ama, hoksi' -",박연이,"학위논문(석사)-- 인천대학교 대학원, 인천대학교 일반대학원 : 한국어교육학과 2016. 8",2016,"""양태 부사"" , ""꼭"" , ""당연히"" , ""아마"" , ""혹시"""
63,교과서에 사용된 영어동화 분석 및 활용 방안 = Analysis and use of Enlgish stories used in the textbook,서혜경,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2014. 2,2014,영어동화
64,초등학교 영재학생과 일반학생의 완벽주의와 학업적 지연행동과 창의적 인성에 관한 연구,추경훈,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 영재교육학과 2017. 2,2017,
65,진동에너지 수확을 위한 MPPT 제어기능을 갖는 CMOS 인터페이스 회로 = A CMOS Interface Circuit with MPPT Control for Vibrational Energy Harvesting,양민재,"학위논문(석사)-- 인천대학교 대학원, 인천대학교 일반대학원 : 전자공학과 집적회로 설계 2016. 2",2015,"에너지하베스팅 , 진동에너지 , MPPT"
66,기능경기대회 전기기기 직종에 대한 지도방안 연구 = Effective Teaching Methods for Control of Electric Machine in Skill Competition,강준규,학위논문(석사)-- 인천대학교 교육대학원 : 전기교육전공 2020. 2,2020,"기능경기대회 , 기능인 , 전기기기"
67,한 운동중단 야구선수의 직업사회화 과정에 관한 내러티브 탐구 = A Narrative Inquiry on the Process of Occupational Socialization of One Exercise Dropout Baseball Player,조규룡,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2017. 8,2017,직업사회화
68,인천체육의 사회사적 변천과정 : 인천체육 세계화의 기여요인을 중심으로 = Social history on the transformation process of sport in the city of Incheon : with an emphasis on the factors contributing to globalization of sports in Incheon,조준호,학위논문(박사) -- 인천대학교 대학원 체육학과 2008,2008,
69,"자원봉사활동의 참여동기, 관리요소, 만족도가 참여태도에 미치는 영향 : 인천지역 자원봉사센터 봉사자를 중심으로 = A Study on the Effect of Participation Motive, Managenent Factors and Satisfaction of Volunteering Activities to the Attitudes toward Volunteering : the case of volunteers of volunteer centers in the region of Incheon",이용우,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2014. 2,2014,"자원봉사활도의 참여동기 , 관리요소 , 만족도가 참여태도에 미치는 영향"
70,기상정보를 고려한 태양전지의 발전량 단기예측에 관한 연구 = A study of short-term solar cell power generation forecasting considering weather information,임용택,학위논문(석사)-- 인천대학교 대학원 : 산업경영공학전공 2014. 2,2014,"태양광 발전 , 태양전지 , 발전량 예측 , 기상정보"
71,초등학생의 검도수련에 따른 라이프스킬의 차이 = Effects of Life Skill through the Kumdo Training,강태성,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2012. 2,2012,"라이프스킬 , 검도 , 초등학생"
72,농촌 생활체육 참가자의 운동지속의도 결정요인 분석 = Determinants of exercise adherence in rural area,서성훈,학위논문(박사) -- 인천대학교 대학원 체육학과 2012,2012,
73,"키네시오 테이핑 적용이 수영선수의 근력, 유연성, 경기력과 피로물질에 미치는 영향 = The Effects of Apply Kinesio Taping on Swimmer's Muscular Strength, Flexibility, Performance and Lactic Acid",김인영,학위논문(석사)-- 인천대학교 대학원 : 체육학과 2010. 2,2010,
74,"학교 밖 청소년의 적응유연성에 관한 연구 : 자아존중감, 가족응집력, 사회적지지를 중심으로 = A Study on Adaptation Flexibility of Adolescents Out of School:Self-esteem, family cohesion and social support",전주희,학위논문(석사)-- 인천대학교 정책대학원 : 사회복지학과 2018.2,2018,"""학교밖청소년"" , ""적응유연성"" , ""자아존중감"" , ""가족응집력"" , ""사회적지지"""
